"specimen_id","species","variety_name","variety_type","ethanol_pre_treatment","saline_treatment","block","leaf_area","leaf_number","shoot_dry_weight","root_dry_weight","shoot_fresh_weight","root_fresh_weight","leaf_fresh_weight","leaf_dry_weight","turgid_weight","leaf_rwc","water_deficit","plant_height","stem_diameter","shoot_length","root_length","root_to_shoot_ratio","health_status","block_mortality_rate","block_survival_rate","leaf_area_outlier","leaf_number_outlier","shoot_dry_weight_outlier","root_dry_weight_outlier","shoot_fresh_weight_outlier","root_fresh_weight_outlier","leaf_fresh_weight_outlier","leaf_dry_weight_outlier","turgid_weight_outlier","leaf_rwc_outlier","water_deficit_outlier","plant_height_outlier","stem_diameter_outlier","shoot_length_outlier","root_length_outlier","root_to_shoot_ratio_outlier"
"EZ1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",0.99,2,0.071,0.075,0.16,0.186,NA,NA,NA,NA,NA,11.6,2.5,3.8,7.8,1.056338028,1,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CX1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",3.68,3,0.11,0.149,0.4,0.379,NA,NA,NA,NA,NA,17.45,4,7.65,9.8,1.354545455,4,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CZ1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",2.73,2,0.074,0.069,0.104,0.126,NA,NA,NA,NA,NA,8.2,2,4.7,3.5,0.9324324324,4,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CY1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",3.36,3,0.078,0.078,0.204,0.36,0.095,0.06,0.103,81.39534884,18.60465116,8.1,2,4,4.1,1,4,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"EX1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",4,3,0.088,0,0.26,1.536,NA,NA,NA,NA,NA,16.4,3,5.5,10.9,0,3,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"EZ2","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"2",0.12,2,0.068,0,0.13,0.156,NA,NA,NA,NA,NA,9.5,0.2,3.7,5.8,0,1,0.5,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"CZ2","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"2",0.18,4,0.071,0.065,0.15,0.097,NA,NA,NA,NA,NA,7.7,0.2,2.8,4.9,0.9154929577,1,0.5,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"EX2","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"2",4.8,5,0.104,0.57,0.298,1.639,NA,0.077,NA,NA,NA,10.7,0.25,4,6.7,5.480769231,2,0.5,0.5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"EY4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",0.4,2,0.071,0.097,0.15,0.186,0.07,0.06,0.075,66.66666667,33.33333333,12.4,2,5.4,7,1.366197183,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CZ4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",2.015,3,0.081,0.082,0.169,0.208,NA,NA,NA,NA,NA,12,0.3,5.3,6.7,1.012345679,4,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
